,stock,base,quot,trade_min,trade_max
eth-btc,binance,eth,btc,0.00100000,100000.00000000
ltc-btc,binance,ltc,btc,0.01000000,100000.00000000
bnb-btc,binance,bnb,btc,0.01000000,90000000.00000000
neo-btc,binance,neo,btc,0.01000000,100000.00000000
123-456,binance,123,456,0.00100000,100000.00000000
qtum-eth,binance,qtum,eth,0.01000000,90000000.00000000
eos-eth,binance,eos,eth,0.01000000,90000000.00000000
snt-eth,binance,snt,eth,1.00000000,90000000.00000000
bnt-eth,binance,bnt,eth,0.01000000,90000000.00000000
bcc-btc,binance,bcc,btc,0.00100000,100000.00000000
gas-btc,binance,gas,btc,0.01000000,100000.00000000
bnb-eth,binance,bnb,eth,0.01000000,90000000.00000000
btc-usdt,binance,btc,usdt,0.00000100,10000000.00000000
eth-usdt,binance,eth,usdt,0.00001000,10000000.00000000
hsr-btc,binance,hsr,btc,0.01000000,10000000.00000000
oax-eth,binance,oax,eth,1.00000000,90000000.00000000
dnt-eth,binance,dnt,eth,1.00000000,90000000.00000000
mco-eth,binance,mco,eth,0.01000000,90000000.00000000
icn-eth,binance,icn,eth,1.00000000,90000000.00000000
mco-btc,binance,mco,btc,0.01000000,10000000.00000000
wtc-btc,binance,wtc,btc,0.01000000,90000000.00000000
wtc-eth,binance,wtc,eth,0.01000000,90000000.00000000
lrc-btc,binance,lrc,btc,1.00000000,90000000.00000000
lrc-eth,binance,lrc,eth,1.00000000,90000000.00000000
qtum-btc,binance,qtum,btc,0.01000000,10000000.00000000
yoyo-btc,binance,yoyo,btc,1.00000000,90000000.00000000
omg-btc,binance,omg,btc,0.01000000,10000000.00000000
omg-eth,binance,omg,eth,0.01000000,90000000.00000000
zrx-btc,binance,zrx,btc,1.00000000,90000000.00000000
zrx-eth,binance,zrx,eth,1.00000000,90000000.00000000
strat-btc,binance,strat,btc,0.01000000,90000000.00000000
strat-eth,binance,strat,eth,0.01000000,90000000.00000000
sngls-btc,binance,sngls,btc,1.00000000,90000000.00000000
sngls-eth,binance,sngls,eth,1.00000000,90000000.00000000
bqx-btc,binance,bqx,btc,1.00000000,90000000.00000000
bqx-eth,binance,bqx,eth,1.00000000,90000000.00000000
knc-btc,binance,knc,btc,1.00000000,90000000.00000000
knc-eth,binance,knc,eth,1.00000000,90000000.00000000
fun-btc,binance,fun,btc,1.00000000,90000000.00000000
fun-eth,binance,fun,eth,1.00000000,90000000.00000000
snm-btc,binance,snm,btc,1.00000000,90000000.00000000
snm-eth,binance,snm,eth,1.00000000,90000000.00000000
neo-eth,binance,neo,eth,0.01000000,90000000.00000000
iota-btc,binance,iota,btc,1.00000000,90000000.00000000
iota-eth,binance,iota,eth,1.00000000,90000000.00000000
link-btc,binance,link,btc,1.00000000,90000000.00000000
link-eth,binance,link,eth,1.00000000,90000000.00000000
xvg-btc,binance,xvg,btc,1.00000000,90000000.00000000
xvg-eth,binance,xvg,eth,1.00000000,90000000.00000000
salt-btc,binance,salt,btc,0.01000000,90000000.00000000
