,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-16 00:41:00,13771.388531141936,btc,13796.0,usd,2018-01-16,2018-01-16 00:41:00,1516052460.0,0.010019735384582288,-15176244.107944312,10.0730978
2018-01-16 07:28:00,12908.159580673711,btc,12896.0,usd,2018-01-16,2018-01-16 07:28:00,1516076880.0,-0.0005719097283659983,880795.8889106194,13.4038483
2018-01-16 11:43:00,11649.922469221296,btc,11819.0,usd,2018-01-16,2018-01-16 11:43:00,1516092180.0,-0.01416487722351281,21488127.960871223,62331.31980194001
2018-01-16 12:29:29,11692.987816158717,btc,11718.0,usd,2018-01-16,2018-01-16 12:29:29,1516094969.0,-0.018578111901891497,28178750.16506189,66296.40050566997
2018-01-16 13:01:50,11215.124692430163,btc,11386.0,usd,2018-01-16,2018-01-16 13:01:50,1516096910.0,-0.021393909377629205,32447615.86366928,71474.22406615001
2018-01-16 16:00:00,11649.69727624017,btc,11642.0,usd,2018-01-16,2018-01-16 16:00:00,1516107600.0,-0.03143795560814632,47675076.45173404,81947.62133933001
2018-01-16 17:07:51,11423.593316824361,btc,11398.0,usd,2018-01-16,2018-01-16 17:07:51,1516111671.0,-0.03328435659633805,50474400.79294639,83318.53393060001
2018-01-16 21:17:41,10941.259494499522,btc,11052.0,usd,2018-01-16,2018-01-16 21:17:41,1516126661.0,-0.03263710572897087,49493210.50559725,99456.69577239
2018-01-17 00:03:11,10873.448406808715,btc,10935.0,usd,2018-01-17,2018-01-17 00:03:11,1516136591.0,-0.030250316053360374,45874617.02359682,110744.9375882
2018-01-17 00:46:22,10378.407449464525,btc,10548.264442540003,usd,2018-01-17,2018-01-17 00:46:22,1516139182.0,-0.0307277053573,46598380.10546639,116714.65308002
2018-01-17 01:39:22,10074.178086831296,btc,10201.0,usd,2018-01-17,2018-01-17 01:39:22,1516142362.0,-0.03226930949182195,48935594.18894024,124278.91071973
2018-01-17 04:08:12,10883.483870967748,btc,10898.0,usd,2018-01-17,2018-01-17 04:08:12,1516151292.0,-0.02753948120886803,41764674.91732765,133554.90463066995
2018-01-17 06:53:42,10316.596355504038,btc,10429.0,usd,2018-01-17,2018-01-17 06:53:42,1516161222.0,-0.02397681441690689,36363283.89937747,133181.40137678
2018-01-17 11:30:24,10469.37171989436,btc,10501.0,usd,2018-01-17,2018-01-17 11:30:24,1516177824.0,-0.014537622959372816,22052243.3496398,133839.58786439
2018-01-17 14:08:24,9854.606657983872,btc,9859.0,usd,2018-01-17,2018-01-17 14:08:24,1516187304.0,-0.016856428238129363,25567873.041713245,125450.24764334998
2018-01-17 15:00:13,9791.280546293387,btc,9820.1,usd,2018-01-17,2018-01-17 15:00:13,1516190413.0,-0.017333602248450267,26291329.590223383,129310.88175017
2018-01-17 16:54:23,9947.39342774452,btc,9992.5,usd,2018-01-17,2018-01-17 16:54:23,1516197263.0,-0.0172591531130688,26178437.188879274,130053.76326908
2018-01-17 17:47:54,9485.86935483871,btc,9560.3,usd,2018-01-17,2018-01-17 17:47:54,1516200474.0,-0.01820915995272944,27618785.01340203,132346.98663751993
2018-01-17 21:38:51,9810.904437200159,btc,9848.1,usd,2018-01-17,2018-01-17 21:38:51,1516214331.0,-0.017542947300851812,26608664.39496769,138776.47384778006
2018-01-18 02:21:41,10744.725806451615,btc,10786.0,usd,2018-01-18,2018-01-18 02:21:41,1516231301.0,-0.009043973964279759,13722861.50716605,133597.74455652
2018-01-18 07:00:02,11233.627603437264,btc,11260.0,usd,2018-01-18,2018-01-18 07:00:02,1516248002.0,0.0073979102157254815,-11206202.107017938,132292.05233385
2018-01-18 08:25:31,10811.645161290326,btc,10841.0,usd,2018-01-18,2018-01-18 08:25:31,1516253131.0,0.010490646228716968,-15895453.912606748,131192.62226653998
2018-01-18 11:08:32,10563.166388403391,btc,10603.521150850003,usd,2018-01-18,2018-01-18 11:08:32,1516262912.0,0.01646690724105884,-24956883.754330475,132026.16597438007
2018-01-18 16:23:11,11425.378504064358,btc,11471.0,usd,2018-01-18,2018-01-18 16:23:11,1516281791.0,0.02008317510127912,-30440104.31375956,118172.72156869002
2018-01-18 19:39:31,11404.704782057745,btc,11429.0,usd,2018-01-18,2018-01-18 19:39:31,1516293571.0,0.015907637178715225,-24108920.619772345,104477.38902609002
2018-01-18 21:11:11,11169.74589116807,btc,11174.0,usd,2018-01-18,2018-01-18 21:11:11,1516299071.0,0.012961481864979784,-19641798.346214067,100231.8803472
2018-01-19 01:41:46,11002.282106822902,btc,11045.0,usd,2018-01-19,2018-01-19 01:41:46,1516315306.0,0.006553357891864588,-9925370.14970041,88102.12723682
2018-01-19 06:25:26,10713.386355987099,btc,10755.0,usd,2018-01-19,2018-01-19 06:25:26,1516332326.0,0.0016073621279460814,-2425945.6615602933,77267.59834412
2018-01-19 10:47:46,11011.484274708871,btc,11056.0,usd,2018-01-19,2018-01-19 10:47:46,1516348066.0,-0.0028417795094911194,4320283.19292883,71072.46987157999
