,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-12 20:21:00,13495.951612903227,btc,13531.0,usd,2018-01-12,2018-01-12 20:21:00,1515777660.0,0.005063376105651625,-7661153.240439642,35.66785359
2018-01-13 02:17:00,13636.140182308065,btc,13680.0,usd,2018-01-13,2018-01-13 02:17:00,1515799020.0,0.005909524296174223,-8943789.478709502,28.847461440000004
2018-01-13 06:56:00,14025.35483870968,btc,14090.0,usd,2018-01-13,2018-01-13 06:56:00,1515815760.0,0.0035707549879436876,-5398701.943068877,5.2290664200000005
2018-01-13 13:10:00,14144.066893955163,btc,14159.0,usd,2018-01-13,2018-01-13 13:10:00,1515838200.0,0.005859517986986425,-8867932.198656676,7.53978223
2018-01-13 23:32:00,14143.970744799033,btc,14146.0,usd,2018-01-13,2018-01-13 23:32:00,1515875520.0,0.007148760448789834,-10822188.712751152,26.07453695
2018-01-15 06:55:00,13409.411975530807,btc,13497.0,usd,2018-01-15,2018-01-15 06:55:00,1515988500.0,-0.004535626386973556,6889289.188922492,9.20422701
2018-01-15 08:39:35,13507.017973164682,btc,13511.0,usd,2018-01-15,2018-01-15 08:39:35,1515994775.0,-0.0009558330121893975,1462494.2468000671,35042.267364789994
2018-01-15 09:52:05,13729.286165131292,btc,13740.0,usd,2018-01-15,2018-01-15 09:52:05,1515999125.0,0.0012132585936950218,-1825745.2428806466,35182.052932750004
2018-01-15 11:14:55,13582.026713892907,btc,13590.0,usd,2018-01-15,2018-01-15 11:14:55,1516004095.0,0.0032042220393247536,-4843982.333530576,35574.01714606
2018-01-15 14:44:58,13605.468384010968,btc,13633.0,usd,2018-01-15,2018-01-15 14:44:58,1516016698.0,0.005407729887890289,-8184485.176747127,36209.27555306
2018-01-15 17:32:07,14231.303228642582,btc,14254.0,usd,2018-01-15,2018-01-15 17:32:07,1516026727.0,0.008702502113462718,-13179308.67814724,38093.13689941001
2018-01-17 01:39:22,10074.178086831296,btc,10201.0,usd,2018-01-17,2018-01-17 01:39:22,1516142362.0,-0.03226930949182195,48935594.18894024,124278.91071973
2018-01-17 08:31:13,10707.208331358554,btc,10750.0,usd,2018-01-17,2018-01-17 08:31:13,1516167073.0,-0.022519669547146258,34154080.26169962,137105.53265595002
2018-01-17 08:45:13,10916.013151622908,btc,10835.0,usd,2018-01-17,2018-01-17 08:45:13,1516167913.0,-0.022217375365889476,33695766.4867625,137562.7680036
2018-01-17 15:00:13,9791.280546293388,btc,9820.1,usd,2018-01-17,2018-01-17 15:00:13,1516190413.0,-0.01733360224845027,26291329.590223383,129310.88175017
2018-01-17 16:14:43,10100.34041044871,btc,10133.0,usd,2018-01-17,2018-01-17 16:14:43,1516194883.0,-0.017442712091178137,26456746.138050985,130120.99384363
2018-01-17 18:39:53,9315.55,btc,9351.5,usd,2018-01-17,2018-01-17 18:39:53,1516203593.0,-0.01924222962979579,29185061.47469259,136948.0826872
2018-01-17 21:38:51,9810.904437200159,btc,9848.1,usd,2018-01-17,2018-01-17 21:38:51,1516214331.0,-0.017542947300851812,26608664.394967686,138776.47384778006
2018-01-17 23:34:22,10780.767884403549,btc,10688.0,usd,2018-01-17,2018-01-17 23:34:22,1516221262.0,-0.014739285823208275,22357843.524725955,140824.03473028
2018-01-18 02:21:41,10744.725806451615,btc,10786.0,usd,2018-01-18,2018-01-18 02:21:41,1516231301.0,-0.009043973964279759,13722861.50716605,133597.74455652
2018-01-18 03:35:11,10831.739091499521,btc,10850.0,usd,2018-01-18,2018-01-18 03:35:11,1516235711.0,-0.004988501086226271,7574013.289984137,131683.06334295002
2018-01-18 03:48:21,10969.057243795325,btc,10942.0,usd,2018-01-18,2018-01-18 03:48:21,1516236501.0,-0.004284011766862708,6505872.7278922135,131220.32330626
2018-01-18 04:47:52,11253.289675709035,btc,11258.0,usd,2018-01-18,2018-01-18 04:47:52,1516240072.0,-0.0007332468746070395,1122237.2190678138,131464.64526901007
