tick_date,tick_time,base,quot,close,volume,timestamp,avg,trend_coef,trend_intercept
2018-01-11,2018-01-11 13:45:00,btc,usd,13396.0,35.37269825,1515667500.0,13460.227742576775,,
2018-01-11,2018-01-11 13:46:00,btc,usd,13352.0,26.92467264,1515667560.0,13458.51806515742,,
2018-01-11,2018-01-11 13:47:00,btc,usd,13367.0,25.40971364,1515667620.0,13457.308387738065,,
2018-01-11,2018-01-11 13:48:00,btc,usd,13375.0,58.54342695,1515667680.0,13456.727742576775,,
2018-01-11,2018-01-11 13:49:00,btc,usd,13405.0,43.74339057,1515667740.0,13457.114839350968,,
2018-01-11,2018-01-11 13:50:00,btc,usd,13396.0,4.84951598,1515667800.0,13456.155120413388,,
2018-01-11,2018-01-11 13:51:00,btc,usd,13374.0,20.88061477,1515667860.0,13454.671249445646,,
2018-01-11,2018-01-11 13:52:00,btc,usd,13330.0,25.53545129,1515667920.0,13451.56786705484,,
2018-01-11,2018-01-11 13:53:00,btc,usd,13279.0,78.82559832999998,1515667980.0,13447.309802538712,,
2018-01-11,2018-01-11 13:54:00,btc,usd,13282.0,39.77593868000001,1515668040.0,13443.938834796776,,
2018-01-11,2018-01-11 13:55:00,btc,usd,13251.0,21.90600487,1515668100.0,13439.471092861293,,
2018-01-11,2018-01-11 13:56:00,btc,usd,13243.0,36.30242104,1515668160.0,13434.874318667744,,
2018-01-11,2018-01-11 13:57:00,btc,usd,13243.0,19.59533894,1515668220.0,13431.051738022583,,
2018-01-11,2018-01-11 13:58:00,btc,usd,13294.0,69.65844329,1515668280.0,13428.632383183873,,
2018-01-11,2018-01-11 13:59:00,btc,usd,13256.0,27.95012803,1515668340.0,13425.261415441937,,
2018-01-11,2018-01-11 14:00:00,btc,usd,13206.0,56.16398551,1515668400.0,13420.583996087098,,
2018-01-11,2018-01-11 14:01:00,btc,usd,13181.0,129.26363748999998,1515668460.0,13415.293673506454,,
2018-01-11,2018-01-11 14:02:00,btc,usd,13202.0,63.13511431000001,1515668520.0,13409.874318667744,,
2018-01-11,2018-01-11 14:03:00,btc,usd,13200.0,38.95108442999999,1515668580.0,13404.713028345162,,
2018-01-11,2018-01-11 14:04:00,btc,usd,13187.0,40.71199119,1515668640.0,13399.100125119357,,
2018-01-11,2018-01-11 14:05:00,btc,usd,13171.0,32.04309197,1515668700.0,13393.16464124839,,
2018-01-11,2018-01-11 14:06:00,btc,usd,13223.0,35.00211127000001,1515668760.0,13387.761415441937,,
2018-01-11,2018-01-11 14:07:00,btc,usd,13254.0,42.9246685,1515668820.0,13382.454963829034,,
2018-01-11,2018-01-11 14:08:00,btc,usd,13280.0,11.910587890000002,1515668880.0,13377.954963829034,,
2018-01-11,2018-01-11 14:09:00,btc,usd,13333.0,93.94208855,1515668940.0,13375.06786705484,,
2018-01-11,2018-01-11 14:10:00,btc,usd,13306.0,25.75879009,1515669000.0,13371.809802538712,,
2018-01-11,2018-01-11 14:11:00,btc,usd,13279.0,29.50618377,1515669060.0,13368.438834796776,,
2018-01-11,2018-01-11 14:12:00,btc,usd,13250.0,54.4781887,1515669120.0,13364.180770280647,,
2018-01-11,2018-01-11 14:13:00,btc,usd,13257.0,16.961118579999994,1515669180.0,13360.390447700001,,
2018-01-11,2018-01-11 14:14:00,btc,usd,13281.0,22.6700419,1515669240.0,13357.003350925808,,
2018-01-11,2018-01-11 14:15:00,btc,usd,13303.0,19.854905310000007,1515669300.0,13354.16464124839,,
2018-01-11,2018-01-11 14:16:00,btc,usd,13270.0,57.34068466999999,1515669360.0,13351.229157377422,,
2018-01-11,2018-01-11 14:17:00,btc,usd,13205.0,41.40301703,1515669420.0,13347.74763742855,,
2018-01-11,2018-01-11 14:18:00,btc,usd,13191.0,44.44853137000001,1515669480.0,13344.070218073712,,
2018-01-11,2018-01-11 14:19:00,btc,usd,13189.0,23.24039733,1515669540.0,13340.666992267259,,
2018-01-11,2018-01-11 14:20:00,btc,usd,13236.0,23.02650849,1515669600.0,13339.021830976937,,
2018-01-11,2018-01-11 14:21:00,btc,usd,13192.0,14.52680082,1515669660.0,13335.779895493066,,
2018-01-11,2018-01-11 14:22:00,btc,usd,13222.0,10.6395036,1515669720.0,13333.070218073712,,
2018-01-11,2018-01-11 14:23:00,btc,usd,13276.0,10.40930332,1515669780.0,13330.860540654356,,
2018-01-11,2018-01-11 14:24:00,btc,usd,13250.0,16.105801600000003,1515669840.0,13327.731508396291,,
2018-01-11,2018-01-11 14:25:00,btc,usd,13221.0,10.787248279999998,1515669900.0,13324.150863235001,,
2018-01-11,2018-01-11 14:26:00,btc,usd,13226.0,4.43727087,1515669960.0,13320.40892775113,,
2018-01-11,2018-01-11 14:27:00,btc,usd,13251.0,18.891854790000007,1515670020.0,13318.054089041452,,
2018-01-11,2018-01-11 14:28:00,btc,usd,13234.0,11.53505795,1515670080.0,13316.102476138227,,
2018-01-11,2018-01-11 14:29:00,btc,usd,13243.0,22.35227186,1515670140.0,13314.40892775113,,
2018-01-11,2018-01-11 14:30:00,btc,usd,13207.0,37.38073884000001,1515670200.0,13311.731508396291,,
2018-01-11,2018-01-11 14:31:00,btc,usd,13228.0,25.49409638,1515670260.0,13309.215379364034,,
2018-01-11,2018-01-11 14:32:00,btc,usd,13202.0,10.09960677,1515670320.0,13305.699250331776,,
2018-01-11,2018-01-11 14:33:00,btc,usd,13155.61524097,28.87487287,1515670380.0,13301.047883250647,,
2018-01-11,2018-01-11 14:34:00,btc,usd,13188.0,29.938268800000003,1515670440.0,13296.43498002484,,
2018-01-11,2018-01-11 14:35:00,btc,usd,13169.0,31.888020829999995,1515670500.0,13291.505642957743,,
2018-01-11,2018-01-11 14:36:00,btc,usd,13160.0,19.92290805,1515670560.0,13286.150804248065,,
2018-01-11,2018-01-11 14:37:00,btc,usd,13137.693687190002,23.15469347,1515670620.0,13280.307154041451,,
2018-01-11,2018-01-11 14:38:00,btc,usd,13119.0,31.61688548000001,1515670680.0,13273.903928235,,
2018-01-11,2018-01-11 14:39:00,btc,usd,13135.0,47.78180988,1515670740.0,13268.194250815646,,
2018-01-11,2018-01-11 14:40:00,btc,usd,13196.23742952,22.244911020000004,1515670800.0,13263.601306130484,,
2018-01-11,2018-01-11 14:41:00,btc,usd,13209.0,28.249103499999997,1515670860.0,13259.649693227258,,
2018-01-11,2018-01-11 14:42:00,btc,usd,13226.0,17.781660239999994,1515670920.0,13256.333448564355,,
2018-01-11,2018-01-11 14:43:00,btc,usd,13340.0,181.40550986,1515670980.0,13255.299134801293,,
2018-01-11,2018-01-11 14:44:00,btc,usd,13401.0,235.7445489,1515671040.0,13255.637844478711,,
2018-01-11,2018-01-11 14:45:00,btc,usd,13372.0,40.10474341,1515671100.0,13255.024941252905,,
2018-01-11,2018-01-11 14:46:00,btc,usd,13376.0,43.35001323,1515671160.0,13254.57332834968,,
2018-01-11,2018-01-11 14:47:00,btc,usd,13400.0,83.47538666,1515671220.0,13254.637844478711,,
2018-01-11,2018-01-11 14:48:00,btc,usd,13400.0,57.71034458,1515671280.0,13255.412038027098,,
2018-01-11,2018-01-11 14:49:00,btc,usd,13424.0,75.71075617,1515671340.0,13256.331392865808,,
2018-01-11,2018-01-11 14:50:00,btc,usd,13430.0,60.92508066,1515671400.0,13257.218489640001,,
2018-01-11,2018-01-11 14:51:00,btc,usd,13442.0,45.49798009,1515671460.0,13257.81526383355,,
2018-01-11,2018-01-11 14:52:00,btc,usd,13450.0,47.39303065,1515671520.0,13258.686231575486,,
2018-01-11,2018-01-11 14:53:00,btc,usd,13467.0,78.31432052000002,1515671580.0,13260.186231575486,,
2018-01-11,2018-01-11 14:54:00,btc,usd,13455.0,61.73110751,1515671640.0,13262.202360607744,,
2018-01-11,2018-01-11 14:55:00,btc,usd,13398.0,16.50958274,1515671700.0,13264.121715446454,,
2018-01-11,2018-01-11 14:56:00,btc,usd,13398.0,21.98318648,1515671760.0,13265.99268318839,,
2018-01-11,2018-01-11 14:57:00,btc,usd,13420.0,23.780136589999994,1515671820.0,13268.718489640001,,
2018-01-11,2018-01-11 14:58:00,btc,usd,13469.0,113.15488528,1515671880.0,13272.363650930325,,
2018-01-11,2018-01-11 14:59:00,btc,usd,13475.0,28.27418706000001,1515671940.0,13276.105586414194,,
2018-01-11,2018-01-11 15:00:00,btc,usd,13454.0,23.21714865,1515672000.0,13278.686231575486,,
2018-01-11,2018-01-11 15:01:00,btc,usd,13473.0,19.70631557,1515672060.0,13282.186231575486,,
2018-01-11,2018-01-11 15:02:00,btc,usd,13493.0,20.117721520000003,1515672120.0,13286.81526383355,,
2018-01-11,2018-01-11 15:03:00,btc,usd,13550.0,130.51481356999997,1515672180.0,13292.766876736776,,
2018-01-11,2018-01-11 15:04:00,btc,usd,13575.0,73.88595600000002,1515672240.0,13298.783005769033,,
2018-01-11,2018-01-11 15:05:00,btc,usd,13571.0,77.86339318,1515672300.0,13304.766876736776,,
2018-01-11,2018-01-11 15:06:00,btc,usd,13593.0,27.89578243,1515672360.0,13311.31526383355,,
2018-01-11,2018-01-11 15:07:00,btc,usd,13580.0,46.67158583000001,1515672420.0,13317.912038027098,,
2018-01-11,2018-01-11 15:08:00,btc,usd,13575.0,17.813605160000005,1515672480.0,13323.589457381937,,
2018-01-11,2018-01-11 15:09:00,btc,usd,13600.0,44.84710353,1515672540.0,13329.170102543228,,
2018-01-11,2018-01-11 15:10:00,btc,usd,13670.0,59.21975885000001,1515672600.0,13335.460425123872,,
2018-01-11,2018-01-11 15:11:00,btc,usd,13717.0,100.36252705,1515672660.0,13341.653973510969,,
2018-01-11,2018-01-11 15:12:00,btc,usd,13731.0,113.48569997,1515672720.0,13348.508812220647,,
2018-01-11,2018-01-11 15:13:00,btc,usd,13671.755989679996,97.50745966000002,1515672780.0,13354.843586247744,,
2018-01-11,2018-01-11 15:14:00,btc,usd,13709.0,43.32854437,1515672840.0,13362.246812054194,,
2018-01-11,2018-01-11 15:15:00,btc,usd,13763.0,117.14874509,1515672900.0,13370.408102376776,,
2018-01-11,2018-01-11 15:16:00,btc,usd,13730.0,76.45372886,1515672960.0,13377.650037860647,,
2018-01-11,2018-01-11 15:17:00,btc,usd,13685.0,36.90147745999999,1515673020.0,13383.811328183227,,
2018-01-11,2018-01-11 15:18:00,btc,usd,13704.0,11.24658165,1515673080.0,13390.811328183227,,
2018-01-11,2018-01-11 15:19:00,btc,usd,13671.755989679996,92.27375014999998,1515673140.0,13398.33965059742,,
2018-01-11,2018-01-11 15:20:00,btc,usd,13639.0,61.16017745,1515673200.0,13405.565457049033,,
2018-01-11,2018-01-11 15:21:00,btc,usd,13683.0,22.580746129999994,1515673260.0,13413.533198984516,,
2018-01-11,2018-01-11 15:22:00,btc,usd,13703.0,35.47430856,1515673320.0,13421.065457049033,,
2018-01-11,2018-01-11 15:23:00,btc,usd,13702.0,38.75599169,1515673380.0,13429.291263500645,,
2018-01-11,2018-01-11 15:24:00,btc,usd,13676.0,19.327251480000005,1515673440.0,13436.613844145806,,
2018-01-11,2018-01-11 15:25:00,btc,usd,13646.665814399998,36.18339585,1515673500.0,13442.592325023224,,
2018-01-11,2018-01-11 15:26:00,btc,usd,13650.0,15.27301358,1515673560.0,13449.043937926452,,
2018-01-11,2018-01-11 15:27:00,btc,usd,13631.0,14.61970367,1515673620.0,13455.656841152257,,
2018-01-11,2018-01-11 15:28:00,btc,usd,13599.0,36.8440172,1515673680.0,13461.672970184516,,
2018-01-11,2018-01-11 15:29:00,btc,usd,13649.0,18.45573709,1515673740.0,13468.092325023224,,
2018-01-11,2018-01-11 15:30:00,btc,usd,13640.0,9.15200899,1515673800.0,13474.640712119999,,
2018-01-11,2018-01-11 15:31:00,btc,usd,13652.0,8.904531599999997,1515673860.0,13481.237486313548,,
2018-01-11,2018-01-11 15:32:00,btc,usd,13616.0,17.50009421,1515673920.0,13487.834260507096,,
2018-01-11,2018-01-11 15:33:00,btc,usd,13647.0,25.25133024,1515673980.0,13494.592325023224,,
2018-01-11,2018-01-11 15:34:00,btc,usd,13695.0,16.039699300000002,1515674040.0,13502.543937926452,,
2018-01-11,2018-01-11 15:35:00,btc,usd,13673.0,20.553358520000003,1515674100.0,13510.888853394676,,
2018-01-11,2018-01-11 15:36:00,btc,usd,13718.0,23.92901222,1515674160.0,13519.43724049145,,
2018-01-11,2018-01-11 15:37:00,btc,usd,13740.0,39.17400346,1515674220.0,13528.646917910804,,
2018-01-11,2018-01-11 15:38:00,btc,usd,13761.0,25.020249069999995,1515674280.0,13538.340466297903,,
2018-01-11,2018-01-11 15:39:00,btc,usd,13731.0,25.86514371,1515674340.0,13547.909922956129,,
2018-01-11,2018-01-11 15:40:00,btc,usd,13753.0,18.85846296,1515674400.0,13558.13572940774,,
2018-01-11,2018-01-11 15:41:00,btc,usd,13737.468353519998,13.525937590000002,1515674460.0,13567.852960916129,,
2018-01-11,2018-01-11 15:42:00,btc,usd,13739.0,16.01935988,1515674520.0,13576.60719592387,,
2018-01-11,2018-01-11 15:43:00,btc,usd,13731.0,16.056364050000006,1515674580.0,13585.02655076258,,
2018-01-11,2018-01-11 15:44:00,btc,usd,13700.0,16.88322769,1515674640.0,13592.671712052903,,
2018-01-11,2018-01-11 15:45:00,btc,usd,13686.0,44.73842554000001,1515674700.0,13598.252357214193,,
2018-01-11,2018-01-11 15:46:00,btc,usd,13733.0,22.11860215,1515674760.0,13603.60719592387,,
2018-01-11,2018-01-11 15:47:00,btc,usd,13749.0,18.88883562,1515674820.0,13609.68784108516,,
2018-01-11,2018-01-11 15:48:00,btc,usd,13799.0,61.41566033,1515674880.0,13616.510421730323,,
2018-01-11,2018-01-11 15:49:00,btc,usd,13844.0,42.34552632000001,1515674940.0,13623.671712052903,,
2018-01-11,2018-01-11 15:50:00,btc,usd,13833.0,20.08502534,1515675000.0,13630.655583020645,,
2018-01-11,2018-01-11 15:51:00,btc,usd,13830.0,10.19045506,1515675060.0,13637.20397011742,,
2018-01-11,2018-01-11 15:52:00,btc,usd,13823.0,58.77314446,1515675120.0,13643.542679794838,,
2018-01-11,2018-01-11 15:53:00,btc,usd,13822.0,11.71649179,1515675180.0,13649.671712052903,,
2018-01-11,2018-01-11 15:54:00,btc,usd,13849.0,18.8775072,1515675240.0,13656.10719592387,,
2018-01-11,2018-01-11 15:55:00,btc,usd,13872.0,45.70294131000001,1515675300.0,13662.639453988388,,
2018-01-11,2018-01-11 15:56:00,btc,usd,13853.0,43.61852203000001,1515675360.0,13669.058808827096,,
2018-01-11,2018-01-11 15:57:00,btc,usd,13834.0,13.49762947,1515675420.0,13676.091066891613,,
2018-01-11,2018-01-11 15:58:00,btc,usd,13815.0,37.31704548999999,1515675480.0,13682.816873343227,,
2018-01-11,2018-01-11 15:59:00,btc,usd,13800.0,38.61434248,1515675540.0,13688.945905601291,,
2018-01-11,2018-01-11 16:00:00,btc,usd,13796.0,39.44334479,1515675600.0,13694.220099149677,,
2018-01-11,2018-01-11 16:01:00,btc,usd,13857.0,54.32330988,1515675660.0,13700.381389472259,,
2018-01-11,2018-01-11 16:02:00,btc,usd,13856.0,29.47658311,1515675720.0,13706.86526044,,
2018-01-11,2018-01-11 16:03:00,btc,usd,13859.0,16.137405270000002,1515675780.0,13713.091066891613,,
2018-01-11,2018-01-11 16:04:00,btc,usd,13864.0,20.02154755,1515675840.0,13719.074937859355,,
2018-01-11,2018-01-11 16:05:00,btc,usd,13897.0,113.10504632999998,1515675900.0,13724.671712052903,,
2018-01-11,2018-01-11 16:06:00,btc,usd,13868.0,33.23641468,1515675960.0,13729.397518504516,,
2018-01-11,2018-01-11 16:07:00,btc,usd,13860.0,26.31023201,1515676020.0,13734.058808827096,,
2018-01-11,2018-01-11 16:08:00,btc,usd,13790.474455140002,46.32860242,1515676080.0,13737.243880684193,,
2018-01-11,2018-01-11 16:09:00,btc,usd,13799.0,28.98997906,1515676140.0,13740.776138748708,,
2018-01-11,2018-01-11 16:10:00,btc,usd,13797.0,22.739975600000005,1515676200.0,13744.35678391,,
2018-01-11,2018-01-11 16:11:00,btc,usd,13801.0,20.76317451,1515676260.0,13747.59871939387,,
2018-01-11,2018-01-11 16:12:00,btc,usd,13831.0,49.406525,1515676320.0,13750.195493587418,,
2018-01-11,2018-01-11 16:13:00,btc,usd,13824.0,15.361519390000002,1515676380.0,13751.921300039032,,
2018-01-11,2018-01-11 16:14:00,btc,usd,13809.0,21.36913494,1515676440.0,13753.17936455516,,
2018-01-11,2018-01-11 16:15:00,btc,usd,13770.0,19.21622505,1515676500.0,13754.763945366774,,
2018-01-11,2018-01-11 16:16:00,btc,usd,13721.0,42.30803122,1515676560.0,13754.957493753871,,
2018-01-11,2018-01-11 16:17:00,btc,usd,13723.0,32.77800558000001,1515676620.0,13754.312332463549,,
2018-01-11,2018-01-11 16:18:00,btc,usd,13747.0,15.50562211,1515676680.0,13754.586526011935,,
2018-01-11,2018-01-11 16:19:00,btc,usd,13717.0,12.34373243,1515676740.0,13755.102655044193,,
2018-01-11,2018-01-11 16:20:00,btc,usd,13699.0,11.62934648,1515676800.0,13755.022009882903,,
2018-01-11,2018-01-11 16:21:00,btc,usd,13680.0,12.34152949,1515676860.0,13755.154977791291,,
2018-01-11,2018-01-11 16:22:00,btc,usd,13678.0,16.09860556,1515676920.0,13755.784010049356,,
2018-01-11,2018-01-11 16:23:00,btc,usd,13699.0,14.93024217,1515676980.0,13756.042074565485,,
2018-01-11,2018-01-11 16:24:00,btc,usd,13735.0,25.853157700000004,1515677040.0,13756.558203597742,,
2018-01-11,2018-01-11 16:25:00,btc,usd,13729.0,19.22502761,1515677100.0,13756.99368746871,,
2018-01-11,2018-01-11 16:26:00,btc,usd,13725.0,17.01824777,1515677160.0,13757.784010049356,,
2018-01-11,2018-01-11 16:27:00,btc,usd,13698.0,12.05515094,1515677220.0,13758.61198078484,,
2018-01-11,2018-01-11 16:28:00,btc,usd,13670.0,9.21616307,1515677280.0,13758.934561430002,,
2018-01-11,2018-01-11 16:29:00,btc,usd,13662.0,9.48974542,1515677340.0,13759.434561430002,,
2018-01-11,2018-01-11 16:30:00,btc,usd,13636.0,22.30211694,1515677400.0,13760.03133562355,,
2018-01-11,2018-01-11 16:31:00,btc,usd,13625.0,21.45471705,1515677460.0,13759.644238849356,,
2018-01-11,2018-01-11 16:32:00,btc,usd,13660.0,59.56897894000002,1515677520.0,13759.966819494517,,
2018-01-11,2018-01-11 16:33:00,btc,usd,13641.0,10.96929417,1515677580.0,13759.78940013968,,
2018-01-11,2018-01-11 16:34:00,btc,usd,13623.0,10.46870757,1515677640.0,13759.902303365485,,
2018-01-11,2018-01-11 16:35:00,btc,usd,13615.0,19.44800429,1515677700.0,13759.386174333227,,
2018-01-11,2018-01-11 16:36:00,btc,usd,13639.0,57.86191972,1515677760.0,13758.482948526776,,
2018-01-11,2018-01-11 16:37:00,btc,usd,13664.0,23.29959626,1515677820.0,13758.337787236453,,
2018-01-11,2018-01-11 16:38:00,btc,usd,13625.0463019,30.06715665,1515677880.0,13756.838534041291,,
2018-01-11,2018-01-11 16:39:00,btc,usd,13653.0,19.10051661,1515677940.0,13755.435308234839,,
2018-01-11,2018-01-11 16:40:00,btc,usd,13668.201472310006,10.238209059999997,1515678000.0,13753.938557788226,,
2018-01-11,2018-01-11 16:41:00,btc,usd,13677.0,7.34387705,1515678060.0,13753.06759004629,,
2018-01-11,2018-01-11 16:42:00,btc,usd,13732.0,51.92338673,1515678120.0,13752.728880368872,,
2018-01-11,2018-01-11 16:43:00,btc,usd,13740.0,19.136178770000004,1515678180.0,13752.769713376612,,
2018-01-11,2018-01-11 16:44:00,btc,usd,13747.0,9.962737320000002,1515678240.0,13752.898745634677,,
2018-01-11,2018-01-11 16:45:00,btc,usd,13709.0,28.15923403,1515678300.0,13752.543906925,,
2018-01-11,2018-01-11 16:46:00,btc,usd,13675.0,38.7056974,1515678360.0,13752.140681118548,,
2018-01-11,2018-01-11 16:47:00,btc,usd,13704.0,12.80938445,1515678420.0,13752.431003699194,,
2018-01-11,2018-01-11 16:48:00,btc,usd,13673.0,16.491815990000006,1515678480.0,13751.463261763709,,
2018-01-11,2018-01-11 16:49:00,btc,usd,13672.0,10.252546020000002,1515678540.0,13750.22132627984,,
2018-01-11,2018-01-11 16:50:00,btc,usd,13651.0,22.177869330000004,1515678600.0,13747.834229505645,,
2018-01-11,2018-01-11 16:51:00,btc,usd,13687.0,34.15799525,1515678660.0,13745.30197144113,,
