,assume_range,in_avg,in_price,out_date,out_price,trend_type
2018-01-21 03:06:44,242.8871784949988,12724.813432908872,12710.0,2018-01-21 03:08:25,12706.0,single
2018-01-22 08:28:21,233.43153171677477,11502.56534188468,11538.0,2018-01-22 08:38:11,11492.0,single
2018-01-22 12:23:32,220.0016467662881,11692.20655722242,11771.0,2018-01-22 13:30:42,11697.0,single
2018-01-22 21:24:39,220.0016467662881,10504.92303490548,10506.0,2018-01-22 22:01:30,10399.0,single
2018-01-22 22:16:59,215.79408570007854,10432.504196280965,10446.0,2018-01-22 22:40:00,10366.0,single
2018-01-23 05:24:50,211.58652463386898,10698.652403201928,10700.0,2018-01-23 05:25:30,10668.0,single
2018-01-23 13:12:31,215.79408570007854,10463.478843328221,10498.38232089,2018-01-23 13:28:41,10348.0,single
2018-01-23 13:53:51,215.79408570007854,10322.504718925318,10346.0,2018-01-23 14:02:41,10204.0,single
2018-01-23 14:13:11,257.4625383841194,10345.125379434352,10352.0,2018-01-23 14:20:01,10342.0,single
2018-01-23 20:58:11,211.58652463386898,11155.19904126967,11233.0,2018-01-23 22:43:01,11144.0,single
2018-01-24 07:42:02,206.0445991589504,10572.996661200315,10608.0,2018-01-24 07:54:42,10507.0,single
2018-01-24 12:33:42,211.58652463386898,10824.196052363704,10844.0,2018-01-24 12:54:12,10812.0,single
2018-01-25 07:54:43,215.79408570007854,11461.491068101122,11496.0,2018-01-25 10:28:23,11402.0,single
2018-01-26 07:59:59,211.58652463386898,11449.012129353052,11462.0,2018-01-26 08:18:49,11439.0,single
2018-01-27 04:41:51,206.0445991589504,10975.454720407892,11005.0,2018-01-27 05:06:41,10949.0,single
2018-01-27 10:57:31,211.58652463386898,11207.95802133983,11249.0,2018-01-27 11:35:12,11171.0,single
