,assume_range,in_avg,in_price,out_date,out_price,trend_type
2018-01-20 15:32:27,286.4060968269332,12345.306451612907,12382.0,2018-01-20 16:46:34,12560.0,single
2018-01-20 20:59:14,220.0016467662881,12750.822580645163,12773.0,2018-01-20 21:37:45,12913.0,single
2018-01-20 23:29:14,247.2984073945945,12687.822580645163,12696.0,2018-01-20 23:33:24,12654.0,single
2018-01-21 03:06:44,213.19977965516046,12724.813432908872,12710.0,2018-01-21 03:08:25,12706.0,single
2018-01-21 04:20:51,213.19977965516046,12424.596774193553,12415.0,2018-01-21 04:28:50,12422.0,single
2018-01-21 04:36:11,247.2984073945945,12453.625682580647,12486.0,2018-01-21 05:44:31,12422.0,single
2018-01-21 11:05:41,248.84635703500044,11864.241935483877,11887.0,2018-01-21 11:14:01,11843.0,single
2018-01-21 12:36:42,247.2984073945945,11718.087303167908,11809.0,2018-01-21 13:04:31,11704.0,single
2018-01-21 16:15:51,213.19977965516046,12000.27645420581,12032.0,2018-01-21 17:20:40,11861.0,single
2018-01-21 18:14:21,212.39315214451472,11777.406054765002,11814.0,2018-01-21 18:40:31,11655.0,single
2018-01-21 19:44:01,286.4060968269332,11324.21675600984,11337.0,2018-01-21 20:08:11,11271.0,single
2018-01-21 20:26:51,212.39315214451472,11251.668809145169,11206.0,2018-01-21 20:27:41,11205.0,single
2018-01-22 00:20:01,286.4060968269332,11143.237145830166,11238.0,2018-01-22 03:21:01,11621.0,single
2018-01-22 05:45:01,247.2984073945945,11324.273456664034,11388.0,2018-01-22 07:26:32,11678.0,single
2018-01-22 08:28:21,212.39315214451472,11502.56534188468,11538.0,2018-01-22 08:38:11,11492.0,single
2018-01-22 09:22:41,208.1907179622558,11473.744598769841,11562.0,2018-01-22 10:53:52,11735.0,single
2018-01-22 12:03:42,211.58652463386898,11716.046729421614,11738.0,2018-01-22 12:06:32,11657.0,single
2018-01-22 13:52:02,209.8886212980624,11696.133166228228,11734.0,2018-01-22 14:17:37,11700.0,single
2018-01-22 16:02:17,209.8886212980624,11284.098246865164,11294.0,2018-01-22 16:06:27,11235.0,single
2018-01-22 17:07:57,209.8886212980624,10585.608145912098,10683.0,2018-01-22 18:13:07,10490.0,single
2018-01-22 18:26:07,208.1907179622558,10548.637440533548,10646.0,2018-01-22 18:47:27,10508.0,single
2018-01-22 19:09:38,208.1907179622558,10331.546252419355,10365.0,2018-01-22 19:36:37,10495.0,single
2018-01-22 21:24:39,209.8886212980624,10504.92303490548,10506.0,2018-01-22 22:01:30,10399.0,single
2018-01-22 22:16:59,209.8886212980624,10432.504196280965,10446.0,2018-01-22 22:40:00,10366.0,single
2018-01-22 23:43:40,209.8886212980624,10378.753499247254,10439.0,2018-01-23 00:11:40,10250.0,single
2018-01-23 00:39:40,209.8886212980624,10171.128604536125,10182.0,2018-01-23 00:42:30,10091.0,single
2018-01-23 01:01:40,208.1907179622558,10136.96423001048,10222.0,2018-01-23 01:22:00,10405.0,single
2018-01-23 04:04:40,208.1907179622558,10684.299273607252,10812.0,2018-01-23 05:10:10,10649.0,single
2018-01-23 05:24:50,207.11304308427407,10698.652403201928,10700.0,2018-01-23 05:25:30,10668.0,single
2018-01-23 07:56:30,208.1907179622558,10779.94277150403,10770.0,2018-01-23 07:57:50,10750.0,single
2018-01-23 09:17:40,208.1907179622558,10395.730728429351,10424.0,2018-01-23 09:51:21,10269.0,single
2018-01-23 10:06:10,200.92354410693315,10309.645980202256,10342.0,2018-01-23 10:15:00,10242.0,single
2018-01-23 10:32:50,208.1907179622558,10220.411767359834,10210.680246610002,2018-01-23 11:24:11,10403.0,single
2018-01-23 13:12:31,208.1907179622558,10463.478843328221,10498.38232089,2018-01-23 13:28:41,10348.0,single
2018-01-23 13:53:51,208.1907179622558,10322.504718925318,10346.0,2018-01-23 14:02:41,10204.0,single
2018-01-23 14:13:11,246.86141666726144,10345.125379434352,10352.0,2018-01-23 14:20:01,10342.0,single
2018-01-23 15:04:41,246.86141666726144,10037.679032258058,10137.0,2018-01-23 15:42:11,10292.0,single
2018-01-23 16:22:31,208.1907179622558,10192.04902795048,10285.0,2018-01-23 18:01:01,10434.0,single
2018-01-23 20:58:11,207.11304308427407,11155.19904126967,11233.0,2018-01-23 22:43:01,11144.0,single
2018-01-23 23:31:22,206.03536820629233,10972.759467964994,11020.0,2018-01-24 00:04:01,11152.0,single
2018-01-24 00:42:51,203.26902094516208,11006.260387547898,11040.0,2018-01-24 00:53:31,10989.0,single
2018-01-24 03:11:11,203.26902094516208,10826.35483870967,10839.0,2018-01-24 03:16:52,10816.0,single
2018-01-24 04:11:22,193.00584597467787,10623.9197036308,10645.0,2018-01-24 05:02:02,10566.0,single
2018-01-24 05:15:02,203.26902094516208,10592.11196315854,10650.0,2018-01-24 06:36:12,10819.0,single
2018-01-24 07:42:02,193.00584597467787,10572.996661200315,10608.0,2018-01-24 07:54:42,10507.0,single
2018-01-24 11:02:52,203.26902094516208,10907.662797364188,10964.0,2018-01-24 11:43:02,10858.86447099,single
2018-01-24 12:32:12,200.50267368403183,10816.792247512736,10829.0,2018-01-24 12:55:12,10789.0,single
