,assume_range,in_avg,in_price,out_date,out_price,trend_type
2018-01-20 15:32:27,286.4060968269332,12345.306451612907,12382.0,2018-01-20 16:52:04,12586.0,single
2018-01-20 23:29:14,265.7727102237095,12687.822580645163,12696.0,2018-01-20 23:33:24,12654.0,single
2018-01-21 03:06:44,272.6726970210475,12724.813432908872,12710.0,2018-01-21 03:08:25,12706.0,single
2018-01-21 18:14:40,286.4060968269332,11780.051216055328,11805.0,2018-01-21 18:39:31,11669.0,single
2018-01-22 05:45:01,286.4060968269332,11324.273456664034,11388.0,2018-01-22 07:30:52,11681.0,single
2018-01-22 08:28:21,246.86141666726144,11502.56534188468,11538.0,2018-01-22 08:38:11,11492.0,single
2018-01-22 12:23:32,233.43153171677477,11692.20655722242,11771.0,2018-01-22 13:30:42,11697.0,single
2018-01-23 05:24:50,220.0016467662881,10698.652403201928,10700.0,2018-01-23 05:25:30,10668.0,single
2018-01-23 09:19:51,289.5019961077451,10420.760382573706,10512.0,2018-01-23 09:49:41,10343.0,single
2018-01-23 20:58:11,220.0016467662881,11155.19904126967,11233.0,2018-01-23 22:43:01,11144.0,single
2018-01-23 23:32:22,215.79408570007854,10979.501403448863,11049.0,2018-01-24 00:59:31,10969.0,single
2018-01-24 03:13:02,242.8415190466958,10833.95161290322,10819.0,2018-01-24 03:15:02,10799.0,single
2018-01-24 12:33:42,215.79408570007854,10824.196052363704,10844.0,2018-01-24 12:54:12,10812.0,single
2018-01-24 19:51:12,223.50616969419298,11053.292478489187,11076.0,2018-01-24 19:55:22,11018.0,single
2018-01-25 07:54:43,215.79408570007854,11461.491068101122,11496.0,2018-01-25 10:28:23,11402.0,single
2018-01-26 02:24:49,211.58652463386898,11162.663059997085,11165.0,2018-01-26 02:30:49,11159.0,single
2018-01-26 07:59:59,215.79408570007854,11449.012129353052,11462.0,2018-01-26 08:18:49,11439.0,single
2018-01-26 23:19:53,211.58652463386898,10945.045700448378,11009.0,2018-01-27 00:10:11,10919.0,single
2018-01-27 01:02:11,211.58652463386898,10851.857123721758,10892.0,2018-01-27 01:33:31,10810.0,single
2018-01-27 02:15:11,202.00858503556537,10828.209677419345,10877.0,2018-01-27 02:59:01,11099.0,single
2018-01-27 10:57:31,215.79408570007854,11207.95802133983,11249.0,2018-01-27 11:35:12,11171.0,single
